Dates,1,2,3,4,5,6,7,8
1979-09-07,21.457,21.457,21.457,21.457,21.457,21.457,21.457,21.457
1979-09-08,21.775,21.775,21.775,21.775,21.775,21.775,21.775,21.775
1979-09-09,21.416,21.416,21.416,21.416,21.416,21.416,21.416,21.416
1979-09-10,20.94,20.94,20.94,20.94,20.94,20.94,20.94,20.94
1979-09-11,21.49,21.49,21.49,21.49,21.49,21.49,21.49,21.49
1979-09-12,20.348,20.348,20.348,20.348,20.348,20.348,20.348,20.348
1979-09-13,21.27,21.27,21.27,21.27,21.27,21.27,21.27,21.27
1979-09-14,21.008,21.008,21.008,21.008,21.008,21.008,21.008,21.008
1979-09-15,21.544,21.544,21.544,21.544,21.544,21.544,21.544,21.544
1979-09-16,22.69,22.69,22.69,22.69,22.69,22.69,22.69,22.69
1979-09-17,23.894,23.894,23.894,23.894,23.894,23.894,23.894,23.894
1979-09-18,21.42,21.42,21.42,21.42,21.42,21.42,21.42,21.42
1979-09-19,21.51,21.51,21.51,21.51,21.51,21.51,21.51,21.51
1979-09-20,21.151,21.151,21.151,21.151,21.151,21.151,21.151,21.151
1979-09-21,20.463,20.463,20.463,20.463,20.463,20.463,20.463,20.463
1979-09-22,21.456,21.456,21.456,21.456,21.456,21.456,21.456,21.456
1979-09-23,21.622,21.622,21.622,21.622,21.622,21.622,21.622,21.622
1979-09-24,21.478,21.478,21.478,21.478,21.478,21.478,21.478,21.478
1979-09-25,20.737,20.737,20.737,20.737,20.737,20.737,20.737,20.737
1979-09-26,21.842,21.842,21.842,21.842,21.842,21.842,21.842,21.842
1979-09-27,22.098,22.098,22.098,22.098,22.098,22.098,22.098,22.098
1979-09-28,23.289,23.289,23.289,23.289,23.289,23.289,23.289,23.289
1979-09-29,23.032,23.032,23.032,23.032,23.032,23.032,23.032,23.032
1979-09-30,22.887,22.887,22.887,22.887,22.887,22.887,22.887,22.887
1979-10-01,21.923,21.923,21.923,21.923,21.923,21.923,21.923,21.923
1979-10-02,21.947,21.947,21.947,21.947,21.947,21.947,21.947,21.947
1979-10-03,22.509,22.509,22.509,22.509,22.509,22.509,22.509,22.509
1979-10-04,21.567,21.567,21.567,21.567,21.567,21.567,21.567,21.567
1979-10-05,23.162,23.162,23.162,23.162,23.162,23.162,23.162,23.162
1979-10-06,23.364,23.364,23.364,23.364,23.364,23.364,23.364,23.364
1979-10-07,20.32,20.32,20.32,20.32,20.32,20.32,20.32,20.32
1979-10-08,21.346,21.346,21.346,21.346,21.346,21.346,21.346,21.346
1979-10-09,23.029,23.029,23.029,23.029,23.029,23.029,23.029,23.029
1979-10-10,23.011,23.011,23.011,23.011,23.011,23.011,23.011,23.011
1979-10-11,21.06,21.06,21.06,21.06,21.06,21.06,21.06,21.06
1979-10-12,20.558,20.558,20.558,20.558,20.558,20.558,20.558,20.558
1979-10-13,22.056,22.056,22.056,22.056,22.056,22.056,22.056,22.056
1979-10-14,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.06
1979-10-15,20.066,20.066,20.066,20.066,20.066,20.066,20.066,20.066
1979-10-16,21.874,21.874,21.874,21.874,21.874,21.874,21.874,21.874
1979-10-17,22.615,22.615,22.615,22.615,22.615,22.615,22.615,22.615
1979-10-18,21.966,21.966,21.966,21.966,21.966,21.966,21.966,21.966
1979-10-19,21.899,21.899,21.899,21.899,21.899,21.899,21.899,21.899
1979-10-20,22.129,22.129,22.129,22.129,22.129,22.129,22.129,22.129
1979-10-21,21.917,21.917,21.917,21.917,21.917,21.917,21.917,21.917
1979-10-22,21.918,21.918,21.918,21.918,21.918,21.918,21.918,21.918
1979-10-23,21.541,21.541,21.541,21.541,21.541,21.541,21.541,21.541
1979-10-24,22.129,22.129,22.129,22.129,22.129,22.129,22.129,22.129
1979-10-25,21.276,21.276,21.276,21.276,21.276,21.276,21.276,21.276
1979-10-26,21.653,21.653,21.653,21.653,21.653,21.653,21.653,21.653
1979-10-27,22.105,22.105,22.105,22.105,22.105,22.105,22.105,22.105
